position_index,layer_position_index,scene_id,layer_id,height_index,grid_x_index,grid_z_index,x,y,z,route_heading_deg,camera_route_yaw_deg,pitch_deg,legacy_anchor,route_bridge,distance_from_previous,distance_to_next
323,25,scene_2,scene_2_y04,4,1,12,-3.618571429,9.08,38.438571429,180.0,0.0,-8.0,True,False,0.571428571,0.630714286
324,26,scene_2,scene_2_y04,4,1,11,-3.618571429,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.630714286,0.571428571
325,27,scene_2,scene_2_y04,4,2,11,-3.047142857,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
326,28,scene_2,scene_2_y04,4,3,11,-2.475714286,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
327,29,scene_2,scene_2_y04,4,4,11,-1.904285714,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
328,30,scene_2,scene_2_y04,4,5,11,-1.332857143,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
329,31,scene_2,scene_2_y04,4,6,11,-0.761428571,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
330,32,scene_2,scene_2_y04,4,7,11,-0.19,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
331,33,scene_2,scene_2_y04,4,8,11,0.381428571,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
332,34,scene_2,scene_2_y04,4,9,11,0.952857143,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
333,35,scene_2,scene_2_y04,4,10,11,1.524285714,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
334,36,scene_2,scene_2_y04,4,11,11,2.095714286,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
335,37,scene_2,scene_2_y04,4,12,11,2.667142857,9.08,37.807857143,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
336,38,scene_2,scene_2_y04,4,13,11,3.238571429,9.08,37.807857143,180.0,0.0,-8.0,True,False,0.571428571,0.630714286
337,39,scene_2,scene_2_y04,4,13,10,3.238571429,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.630714286,0.571428571
338,40,scene_2,scene_2_y04,4,12,10,2.667142857,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
339,41,scene_2,scene_2_y04,4,11,10,2.095714286,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
340,42,scene_2,scene_2_y04,4,10,10,1.524285714,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
341,43,scene_2,scene_2_y04,4,9,10,0.952857143,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
342,44,scene_2,scene_2_y04,4,8,10,0.381428571,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
343,45,scene_2,scene_2_y04,4,7,10,-0.19,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
344,46,scene_2,scene_2_y04,4,6,10,-0.761428571,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
345,47,scene_2,scene_2_y04,4,5,10,-1.332857143,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
346,48,scene_2,scene_2_y04,4,4,10,-1.904285714,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
347,49,scene_2,scene_2_y04,4,3,10,-2.475714286,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
348,50,scene_2,scene_2_y04,4,2,10,-3.047142857,9.08,37.177142857,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
349,51,scene_2,scene_2_y04,4,1,10,-3.618571429,9.08,37.177142857,180.0,0.0,-8.0,True,False,0.571428571,0.630714286
350,52,scene_2,scene_2_y04,4,1,9,-3.618571429,9.08,36.546428571,90.0,270.0,-8.0,True,False,0.630714286,0.571428571
351,53,scene_2,scene_2_y04,4,2,9,-3.047142857,9.08,36.546428571,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
352,54,scene_2,scene_2_y04,4,3,9,-2.475714286,9.08,36.546428571,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
353,55,scene_2,scene_2_y04,4,4,9,-1.904285714,9.08,36.546428571,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
354,56,scene_2,scene_2_y04,4,5,9,-1.332857143,9.08,36.546428571,90.0,270.0,-8.0,True,False,0.571428571,2.857142857
355,57,scene_2,scene_2_y04,4,10,9,1.524285714,9.08,36.546428571,90.0,270.0,-8.0,True,False,2.857142857,0.571428571
356,58,scene_2,scene_2_y04,4,11,9,2.095714286,9.08,36.546428571,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
357,59,scene_2,scene_2_y04,4,12,9,2.667142857,9.08,36.546428571,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
358,60,scene_2,scene_2_y04,4,13,9,3.238571429,9.08,36.546428571,180.0,0.0,-8.0,True,False,0.571428571,0.630714286
359,61,scene_2,scene_2_y04,4,13,8,3.238571429,9.08,35.915714286,270.0,90.0,-8.0,True,False,0.630714286,0.571428571
360,62,scene_2,scene_2_y04,4,12,8,2.667142857,9.08,35.915714286,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
361,63,scene_2,scene_2_y04,4,11,8,2.095714286,9.08,35.915714286,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
362,64,scene_2,scene_2_y04,4,10,8,1.524285714,9.08,35.915714286,270.0,90.0,-8.0,True,False,0.571428571,3.428571429
363,65,scene_2,scene_2_y04,4,4,8,-1.904285714,9.08,35.915714286,270.0,90.0,-8.0,True,False,3.428571429,0.571428571
364,66,scene_2,scene_2_y04,4,3,8,-2.475714286,9.08,35.915714286,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
365,67,scene_2,scene_2_y04,4,2,8,-3.047142857,9.08,35.915714286,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
366,68,scene_2,scene_2_y04,4,1,8,-3.618571429,9.08,35.915714286,180.0,0.0,-8.0,True,False,0.571428571,0.630714286
367,69,scene_2,scene_2_y04,4,1,7,-3.618571429,9.08,35.285,90.0,270.0,-8.0,True,False,0.630714286,0.571428571
368,70,scene_2,scene_2_y04,4,2,7,-3.047142857,9.08,35.285,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
369,71,scene_2,scene_2_y04,4,3,7,-2.475714286,9.08,35.285,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
370,72,scene_2,scene_2_y04,4,4,7,-1.904285714,9.08,35.285,90.0,270.0,-8.0,True,False,0.571428571,3.428571429
371,73,scene_2,scene_2_y04,4,10,7,1.524285714,9.08,35.285,90.0,270.0,-8.0,True,False,3.428571429,0.571428571
372,74,scene_2,scene_2_y04,4,11,7,2.095714286,9.08,35.285,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
373,75,scene_2,scene_2_y04,4,12,7,2.667142857,9.08,35.285,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
374,76,scene_2,scene_2_y04,4,13,7,3.238571429,9.08,35.285,180.0,0.0,-8.0,True,False,0.571428571,0.630714286
375,77,scene_2,scene_2_y04,4,13,6,3.238571429,9.08,34.654285714,270.0,90.0,-8.0,True,False,0.630714286,0.571428571
376,78,scene_2,scene_2_y04,4,12,6,2.667142857,9.08,34.654285714,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
377,79,scene_2,scene_2_y04,4,11,6,2.095714286,9.08,34.654285714,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
378,80,scene_2,scene_2_y04,4,10,6,1.524285714,9.08,34.654285714,270.0,90.0,-8.0,True,False,0.571428571,2.857142857
379,81,scene_2,scene_2_y04,4,5,6,-1.332857143,9.08,34.654285714,270.0,90.0,-8.0,True,False,2.857142857,0.571428571
380,82,scene_2,scene_2_y04,4,4,6,-1.904285714,9.08,34.654285714,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
381,83,scene_2,scene_2_y04,4,3,6,-2.475714286,9.08,34.654285714,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
382,84,scene_2,scene_2_y04,4,2,6,-3.047142857,9.08,34.654285714,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
383,85,scene_2,scene_2_y04,4,1,6,-3.618571429,9.08,34.654285714,180.0,0.0,-8.0,True,False,0.571428571,0.630714286
384,86,scene_2,scene_2_y04,4,1,5,-3.618571429,9.08,34.023571429,90.0,270.0,-8.0,True,False,0.630714286,0.571428571
385,87,scene_2,scene_2_y04,4,2,5,-3.047142857,9.08,34.023571429,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
386,88,scene_2,scene_2_y04,4,3,5,-2.475714286,9.08,34.023571429,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
387,89,scene_2,scene_2_y04,4,4,5,-1.904285714,9.08,34.023571429,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
388,90,scene_2,scene_2_y04,4,5,5,-1.332857143,9.08,34.023571429,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
389,91,scene_2,scene_2_y04,4,6,5,-0.761428571,9.08,34.023571429,90.0,270.0,-8.0,True,False,0.571428571,1.142857143
390,92,scene_2,scene_2_y04,4,8,5,0.381428571,9.08,34.023571429,90.0,270.0,-8.0,True,False,1.142857143,0.571428571
391,93,scene_2,scene_2_y04,4,9,5,0.952857143,9.08,34.023571429,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
392,94,scene_2,scene_2_y04,4,10,5,1.524285714,9.08,34.023571429,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
393,95,scene_2,scene_2_y04,4,11,5,2.095714286,9.08,34.023571429,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
394,96,scene_2,scene_2_y04,4,12,5,2.667142857,9.08,34.023571429,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
395,97,scene_2,scene_2_y04,4,13,5,3.238571429,9.08,34.023571429,180.0,0.0,-8.0,True,False,0.571428571,0.630714286
396,98,scene_2,scene_2_y04,4,13,4,3.238571429,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.630714286,0.571428571
397,99,scene_2,scene_2_y04,4,12,4,2.667142857,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
398,100,scene_2,scene_2_y04,4,11,4,2.095714286,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
399,101,scene_2,scene_2_y04,4,10,4,1.524285714,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
400,102,scene_2,scene_2_y04,4,9,4,0.952857143,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
401,103,scene_2,scene_2_y04,4,8,4,0.381428571,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
402,104,scene_2,scene_2_y04,4,7,4,-0.19,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
403,105,scene_2,scene_2_y04,4,6,4,-0.761428571,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
404,106,scene_2,scene_2_y04,4,5,4,-1.332857143,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
405,107,scene_2,scene_2_y04,4,4,4,-1.904285714,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
406,108,scene_2,scene_2_y04,4,3,4,-2.475714286,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
407,109,scene_2,scene_2_y04,4,2,4,-3.047142857,9.08,33.392857143,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
408,110,scene_2,scene_2_y04,4,1,4,-3.618571429,9.08,33.392857143,137.823351119,317.823351119,-8.0,True,False,0.571428571,0.851076449
409,111,scene_2,scene_2_y04,4,2,3,-3.047142857,9.08,32.762142857,90.0,270.0,-8.0,True,False,0.851076449,0.571428571
410,112,scene_2,scene_2_y04,4,3,3,-2.475714286,9.08,32.762142857,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
411,113,scene_2,scene_2_y04,4,4,3,-1.904285714,9.08,32.762142857,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
412,114,scene_2,scene_2_y04,4,5,3,-1.332857143,9.08,32.762142857,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
413,115,scene_2,scene_2_y04,4,6,3,-0.761428571,9.08,32.762142857,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
414,116,scene_2,scene_2_y04,4,7,3,-0.19,9.08,32.762142857,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
415,117,scene_2,scene_2_y04,4,8,3,0.381428571,9.08,32.762142857,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
416,118,scene_2,scene_2_y04,4,9,3,0.952857143,9.08,32.762142857,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
